month,rows,rt_smape,rt_capped_smape,rt_mae,delta_mae,top10_tail_rt_capped_smape,top10_tail_rt_raw_smape,target_met_capped_overall_if_applicable,spike_threshold,spike_recall_topk,spike_average_precision,interval_coverage,interval_mean_width,interval_brier_proxy
2025-01,744,23.396915770301487,10.750381334896767,28.494250430119976,28.494250430119973,31.431980695559425,103.1558309192103,True,184.0885,0.7307692307692307,0.6554245049143831,0.8763440860215054,114.8737025198908,0.0394475385829604
2025-02,672,24.759254788144723,10.852358920383091,31.51873184105168,31.51873184105168,45.565325079551016,92.46384933302204,True,182.2940000000001,0.675,0.5406642761216293,0.7991071428571429,106.609872173244,0.0388201500320813
2025-03,744,25.67037293442696,13.98411435562503,39.32928183939139,39.32928183939139,55.95938988477253,84.64078605923532,True,181.243,0.5571428571428572,0.5331060247813187,0.7419354838709677,113.59744786428884,0.0620056922780486
2025-04,720,20.576523640446386,11.240407380766737,34.669554380892535,34.669554380892535,58.7418422011481,93.20049906682608,True,180.17949999999996,0.6976744186046512,0.6261649557849894,0.7277777777777777,100.96907468938151,0.0326968279393126
2025-05,744,23.86164172266001,12.11844442375362,40.69142573383088,40.69142573383088,49.29416543872035,75.28205536128516,True,180.1495,0.6170212765957447,0.4449196953265414,0.7029569892473119,101.94499526314117,0.0437940272631964
2025-06,720,22.19470787317486,9.618011872329648,29.67901158328422,29.67901158328422,38.82465976973753,72.84276287860637,True,179.3550000000001,0.7592592592592593,0.6450873249597237,0.7833333333333333,88.44104299156534,0.0399428346573154
2025-07,744,17.877900238084397,10.607963299969033,26.99346749235657,26.99346749235657,25.131063469011043,48.85438344359516,True,178.43000000000004,0.8,0.6754770791010453,0.8091397849462365,98.57305118943486,0.0265893267185695
2025-08,744,11.957344022432212,8.891914772370797,30.134105791600856,30.134105791600856,17.60696162772961,24.413258502021343,True,178.21,0.8679245283018868,0.8428133865994738,0.7876344086021505,98.20102749490506,0.0268928823846508
2025-09,720,14.141992746300897,8.296237835070176,28.70382842865113,28.70382842865113,31.71886247774671,41.361725059186725,True,176.5575,0.75,0.7197888111068604,0.7236111111111111,68.75443347949901,0.0396314480905976
2025-10,744,12.058601869387491,10.12531812692398,38.47884061474223,38.47884061474224,26.504743178494447,28.340363335350396,True,175.92700000000002,0.5533980582524272,0.7736560839938367,0.7163978494623656,94.8968182978534,0.0604007595549494
2025-11,720,24.280644063690072,9.908704293499758,30.814428511307405,30.814428511307405,45.92126292161959,92.34243399200108,True,175.5,0.6666666666666666,0.4992760428201545,0.7986111111111112,89.38907338504872,0.045369456746429
2025-12,744,29.054421923739703,14.33458685673481,35.21469788155113,35.21469788155113,43.31349556381996,99.70876197867229,True,176.26200000000009,0.6024096385542169,0.7115289483087884,0.8293010752688172,111.60937028878678,0.0547763995018726
