month,rows,rt_smape,rt_capped_smape,rt_mae,delta_mae,top10_tail_rt_capped_smape,top10_tail_rt_raw_smape,target_met_capped_overall_if_applicable
2025-01,744,23.396915770301487,10.750381334896767,28.494250430119976,28.494250430119973,31.431980695559425,103.1558309192103,True
2025-02,672,24.759254788144723,10.852358920383091,31.518731841051682,31.518731841051682,45.565325079551016,92.46384933302204,True
2025-03,744,25.67037293442696,13.98411435562503,39.32928183939139,39.32928183939139,55.95938988477253,84.64078605923532,True
2025-04,720,20.576523640446386,11.240407380766735,34.669554380892535,34.669554380892535,58.7418422011481,93.20049906682607,True
2025-05,744,23.86164172266001,12.11844442375362,40.691425733830876,40.69142573383088,49.29416543872035,75.28205536128516,True
2025-06,720,22.19470787317486,9.618011872329648,29.67901158328422,29.67901158328422,38.82465976973753,72.84276287860637,True
2025-07,744,17.877900238084397,10.607963299969033,26.993467492356572,26.99346749235657,25.131063469011043,48.85438344359516,True
2025-08,744,11.957344022432212,8.891914772370797,30.134105791600856,30.134105791600856,17.60696162772961,24.413258502021343,True
2025-09,720,14.141992746300897,8.296237835070176,28.70382842865113,28.70382842865113,31.71886247774671,41.361725059186725,True
2025-10,744,12.058601869387491,10.125318126923979,38.47884061474223,38.47884061474224,26.504743178494447,28.340363335350393,True
2025-11,720,24.280644063690072,9.908704293499758,30.814428511307405,30.814428511307405,45.92126292161959,92.34243399200108,True
2025-12,744,29.054421923739703,14.33458685673481,35.21469788155113,35.21469788155113,43.31349556381996,99.70876197867227,True
