month,segment_name,rows,rt_smape,rt_capped_smape,rt_mae,delta_mae,target_met_for_9_16_if_applicable
2025-01,1_8,248,15.169396798658289,9.678299598144687,22.92059910531473,22.92059910531473,
2025-01,9_16,248,43.217731568807736,16.611780692019046,44.23050968155172,44.23050968155172,True
2025-01,17_24,248,11.803618943438437,5.961063714526563,18.331642503493473,18.331642503493473,
2025-02,1_8,224,30.990580075427115,10.721673328042174,29.599999355730695,29.599999355730695,
2025-02,9_16,224,33.324578511920826,13.326770897601145,35.256081220023425,35.256081220023425,True
2025-02,17_24,224,9.962605777086225,8.508632535505955,29.70011494740092,29.700114947400916,
2025-03,1_8,248,32.08137387269228,17.370909161849724,41.20250792761544,41.20250792761545,
2025-03,9_16,248,31.370542607591364,13.33094979733477,41.61945964493046,41.61945964493046,True
2025-03,17_24,248,13.559202322997239,11.250484107690598,35.165877945628274,35.165877945628274,
2025-04,1_8,240,23.729801212850635,15.009709714323849,39.81485359050975,39.814853590509756,
2025-04,9_16,240,24.29507698573515,8.55000517335981,26.00852860974633,26.00852860974633,True
2025-04,17_24,240,13.704692722753368,10.161507254616543,38.18528094242153,38.18528094242153,
2025-05,1_8,248,18.321162366662286,13.79344539599617,47.22368966890696,47.22368966890696,
2025-05,9_16,248,40.94580242665772,12.53325162748719,37.350390410347366,37.350390410347366,True
2025-05,17_24,248,12.317960374660014,10.028636247777502,37.50019712223831,37.50019712223831,
2025-06,1_8,240,11.10841253415303,7.788176737452057,22.462740110096554,22.462740110096554,
2025-06,9_16,240,49.25538304740152,14.845530841566866,43.17725018677368,43.17725018677368,True
2025-06,17_24,240,6.220328037970023,6.220328037970023,23.39704445298242,23.39704445298242,
2025-07,1_8,248,7.769701076789253,5.734669888978805,15.35854307907076,15.358543079070753,
2025-07,9_16,248,40.207036203659605,20.432256577123965,37.205978667456364,37.20597866745638,True
2025-07,17_24,248,5.6569634338043295,5.6569634338043295,28.415880730542575,28.415880730542582,
2025-08,1_8,248,6.276034914191583,6.209581445224336,22.4174130259131,22.417413025913095,
2025-08,9_16,248,21.17400259747198,12.044168316254972,28.83393813487776,28.83393813487776,True
2025-08,17_24,248,8.421994555633079,8.421994555633079,39.150966214011724,39.150966214011724,
2025-09,1_8,240,3.120959426694003,3.120959426694003,10.052753443444905,10.052753443444905,
2025-09,9_16,240,32.88663718986074,15.349372456168577,49.21813601542613,49.218136015426126,True
2025-09,17_24,240,6.418381622347948,6.418381622347948,26.840595827082346,26.84059582708235,
2025-10,1_8,248,4.786626171284047,4.786626171284047,19.403891291569547,19.403891291569543,
2025-10,9_16,248,22.181337622644502,16.38148639525396,59.0614830042425,59.06148300424249,True
2025-10,17_24,248,9.207841814233927,9.207841814233927,36.97114754841466,36.97114754841466,
2025-11,1_8,240,14.087945452786842,6.832616702071249,19.629016602402178,19.62901660240218,
2025-11,9_16,240,47.34603818755419,16.50132151344842,52.95419086688869,52.95419086688869,True
2025-11,17_24,240,11.407948550729182,6.3921746649796125,19.86007806463135,19.860078064631352,
2025-12,1_8,248,27.201153947570006,10.966384129788759,24.8912585485087,24.8912585485087,
2025-12,9_16,248,49.89172161064533,25.714153052159347,65.1191772175696,65.1191772175696,True
2025-12,17_24,248,10.07039021300378,6.323223388256327,15.633657878575109,15.63365787857511,
