hour,rows,rt_smape,rt_capped_smape,rt_mae,delta_mae,mean_abs_rt_actual,mean_abs_rt_error,mean_abs_delta,sign_error_rate,diagnosis_tag
1,365,14.938315037492435,10.539338108639372,35.8677521894108,35.8677521894108,366.13407808219176,35.8677521894108,36.17140410958904,0.3232876712328767,sign error
2,365,14.384704792653794,8.589561116236542,23.97062749649641,23.97062749649641,348.1042506849315,23.97062749649641,32.94720410958904,0.13972602739726028,month-hour seasonal concentration
3,365,13.492212844895189,7.185323924947006,20.12606078913113,20.12606078913113,341.57432876712335,20.12606078913113,30.109452054794524,0.20273972602739726,month-hour seasonal concentration
4,365,13.078064938031627,5.978126882609772,16.681460083243614,16.681460083243614,333.12476849315067,16.681460083243614,28.45451369863014,0.1726027397260274,month-hour seasonal concentration
5,365,12.02027737972832,5.940639488719549,16.434583889793558,16.43458388979356,335.66529315068493,16.434583889793558,27.007663013698625,0.16164383561643836,month-hour seasonal concentration
6,365,13.263361853731222,7.453418091299637,23.78886209290685,23.78886209290685,336.80136931506854,23.78886209290685,33.05158684931507,0.2465753424657534,month-hour seasonal concentration
7,365,22.136027687910637,12.015537505367869,31.731010202451987,31.731010202451998,308.8070884931507,31.731010202451987,47.45116082191781,0.20821917808219179,month-hour seasonal concentration
8,365,25.75922668725047,16.982726008332104,41.44974465728756,41.44974465728756,274.00022054794516,41.44974465728756,57.051845205479445,0.2273972602739726,month-hour seasonal concentration
9,365,37.56581978968239,19.672823597375388,51.297596942423155,51.297596942423155,223.79121643835614,51.297596942423155,69.00667123287671,0.2465753424657534,month-hour seasonal concentration
10,365,42.889044258892824,20.06077862452579,50.651118337535195,50.651118337535195,172.32604328767124,50.651118337535195,71.95416383561644,0.26301369863013696,month-hour seasonal concentration
11,365,31.541556392729397,13.10612874601921,39.969746180494454,39.969746180494454,167.9181178082192,39.969746180494454,76.1609808219178,0.22465753424657534,month-hour seasonal concentration
12,365,31.64373664131634,12.470499202247028,34.77910058411123,34.77910058411123,165.43589671232877,34.77910058411123,77.2044309589041,0.2,month-hour seasonal concentration
13,365,29.664334885730074,12.021710093356214,32.73022019103143,32.73022019103143,153.55450547945205,32.73022019103143,71.16803424657536,0.2191780821917808,month-hour seasonal concentration
14,365,42.59209497046137,12.928316483211644,41.41118061451425,41.411180614514244,171.4884780821918,41.41118061451425,77.49039589041097,0.23013698630136986,month-hour seasonal concentration
15,365,42.51972420564064,17.527703637996517,47.66398678495732,47.66398678495732,210.2755747945205,47.66398678495732,78.83670739726027,0.2191780821917808,smooth bias
16,365,32.32814199334766,16.24548454361391,48.76198152363869,48.76198152363869,279.7624684931507,48.76198152363869,69.6096602739726,0.20821917808219179,smooth bias
17,365,20.900979227823857,15.216357908309076,48.38047285466174,48.38047285466174,360.1743342465753,48.38047285466174,61.46675890410958,0.273972602739726,month-hour seasonal concentration
18,365,9.872945467720854,8.842938228838035,36.502946770349936,36.502946770349936,414.5817761643836,36.502946770349936,52.590548767123295,0.2547945205479452,month-hour seasonal concentration
19,365,9.448104377105675,7.29315108083665,31.852699450989803,31.852699450989803,429.4971109589041,31.852699450989803,55.55048082191781,0.16712328767123288,month-hour seasonal concentration
20,365,7.349129303175961,6.557131564243354,26.47893614642647,26.47893614642647,422.8317035616438,26.47893614642647,55.1674608219178,0.14794520547945206,month-hour seasonal concentration
21,365,6.079965857657458,4.820448362010281,19.643446493958415,19.643446493958418,418.61053424657536,19.643446493958415,53.670353424657534,0.10684931506849316,month-hour seasonal concentration
22,365,6.966923599434621,5.694712039805593,21.72384884805844,21.72384884805844,408.20190082191783,21.72384884805844,52.09366630136986,0.13424657534246576,month-hour seasonal concentration
23,365,8.308937299503265,7.46021662123663,24.12919384420542,24.12919384420542,386.6449205479452,24.12919384420542,43.05595890410959,0.18082191780821918,month-hour seasonal concentration
24,365,10.276754290336118,7.1587676689380855,24.194618120024476,24.194618120024476,373.9801328767123,24.194618120024476,47.39500684931506,0.13150684931506848,month-hour seasonal concentration
